,country_code,country_name,school_attendance,year
317,COL,Colombia,94.19999694824219,2015
318,COM,Comoros,84.4000015258789,2012
319,COG,Congo,96.5467529296875,2015
321,CRI,Costa Rica,95.64746856689453,2018
323,CUB,Cuba,98.83653259277344,2019
326,CIV,Côte d'Ivoire,76.80000305175781,2016
327,PRK,Democratic People's Republic of Korea,96.69999694824219,2017
328,COD,Democratic Republic of the Congo,78.30087280273438,2018
330,DJI,Djibouti,69.5,2012
332,DOM,Dominican Republic,96.4884033203125,2019
333,ECU,Ecuador,95.4000015258789,2019
334,EGY,Egypt,96.80227661132812,2014
335,SLV,El Salvador,95.80000305175781,2014
337,ERI,Eritrea,81,2010
339,SWZ,Eswatini,97.69999694824219,2014
340,ETH,Ethiopia,68.1840591430664,2016
344,GAB,Gabon,97.69999694824219,2012
345,GMB,Gambia,78.0999984741211,2018
346,GEO,Georgia,97.9000015258789,2018
348,GHA,Ghana,80.9371566772461,2018
351,GTM,Guatemala,93.5999984741211,2015
352,GIN,Guinea,66.13343048095703,2018
353,GNB,Guinea-Bissau,68.68377685546875,2019
354,GUY,Guyana,96.48473358154297,2020
355,HTI,Haiti,84.23975372314453,2017
357,HND,Honduras,94.7983169555664,2019
360,IND,India,95.19999694824219,2016
361,IDN,Indonesia,93.46085357666016,2017
362,IRN,Iran (Islamic Republic of),96.68000030517578,2011
363,IRQ,Iraq,91.5999984741211,2018
367,JAM,Jamaica,98,2011
369,JOR,Jordan,97.3592529296875,2018
370,KAZ,Kazakhstan,99.5,2015
371,KEN,Kenya,85.44587707519531,2014
372,KIR,Kiribati,95.9853286743164,2019
373,XKX,Kosovo under UNSC res. 1244*,96.1,2020
375,KGZ,Kyrgyzstan,98.69999694824219,2018
376,LAO,Lao People's Democratic Republic,89.5999984741211,2017
379,LSO,Lesotho,96.5999984741211,2018
380,LBR,Liberia,42.69224166870117,2013
385,MDG,Madagascar,76.0999984741211,2018
386,MWI,Malawi,93.69999694824219,2016
388,MDV,Maldives,94.80000305175781,2017
389,MLI,Mali,53.099998474121094,2015
392,MRT,Mauritania,59.48295974731445,2015
394,MEX,Mexico,98.80000305175781,2018
397,MNG,Mongolia,96.0999984741211,2018
398,MNE,Montenegro,95.16918182373047,2018
401,MOZ,Mozambique,71.5,2011
402,MMR,Myanmar,92.80000305175781,2016
403,NAM,Namibia,92.28575897216797,2013
404,NRU,Nauru,97.30000305175781,2011
405,NPL,Nepal,74.48816680908203,2019
409,NER,Niger,50.400001525878906,2012
410,NGA,Nigeria,66.69999694824219,2018
411,NIU,Niue,100,2011
412,MKD,North Macedonia,98.02993774414062,2019
414,OMN,Oman,97.5,2014
415,PAK,Pakistan,61.93465042114258,2018
417,PAN,Panama,97.0999984741211,2013
419,PRY,Paraguay,98.4000015258789,2017
420,PER,Peru,91.9000015258789,2014
421,PHL,Philippines,94.32737731933594,2017
424,QAT,Qatar,96.41089630126953,2012
426,MDA,Republic of Moldova,98.69999694824219,2012
427,ROU,Romania,91.56999969482422,2016
429,RWA,Rwanda,94.4000015258789,2015
431,LCA,Saint Lucia,99.51078033447266,2012
433,WSM,Samoa,90.62074279785156,2020
435,STP,Sao Tome and Principe,89.70738983154297,2019
437,SEN,Senegal,61.02484130859375,2019
438,SRB,Serbia,97.1910171508789,2019
440,SLE,Sierra Leone,81.80000305175781,2017
444,SLB,Solomon Islands,66,2015
446,ZAF,South Africa,98.46198272705078,2016
447,SSD,South Sudan,23.487079620361328,2010
449,LKA,Sri Lanka,95.70706939697266,2016
450,PSE,State of Palestine,97.83917999267578,2020
451,SDN,Sudan,68.0970230102539,2014
452,SUR,Suriname,96.5999984741211,2018
456,TJK,Tajikistan,97.66156005859375,2017
457,THA,Thailand,95.5538330078125,2019
458,TLS,Timor-Leste,89.82473754882812,2016
459,TGO,Togo,91.20609283447266,2017
461,TON,Tonga,97.02572631835938,2019
463,TUN,Tunisia,96.9000015258789,2018
464,TUR,Turkey,95.43694305419922,2013
465,TKM,Turkmenistan,98.07994842529297,2019
466,TCA,Turks and Caicos Islands,97.154296875,2020
467,TUV,Tuvalu,82.27496337890625,2020
